geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;valor;obs;sinal_conv;sinal_conv_desc
PT;Portugal;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;1370;2020;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;1;Autoestradas;56;2020;;
PT;Portugal;T;Total de acidentes;1;Autoestradas;1426;2020;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;4890;2020;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;159;2020;;
PT;Portugal;T;Total de acidentes;2;Estradas nacionais;5049;2020;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;20954;2020;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;3;Restantes vias;296;2020;;
PT;Portugal;T;Total de acidentes;3;Restantes vias;21250;2020;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;T;Total;27214;2020;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;T;Total;511;2020;;
PT;Portugal;T;Total de acidentes;T;Total;27725;2020;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;1515;2021;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;1;Autoestradas;40;2021;;
PT;Portugal;T;Total de acidentes;1;Autoestradas;1555;2021;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;5325;2021;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;160;2021;;
PT;Portugal;T;Total de acidentes;2;Estradas nacionais;5485;2021;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;23320;2021;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;3;Restantes vias;331;2021;;
PT;Portugal;T;Total de acidentes;3;Restantes vias;23651;2021;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;T;Total;30160;2021;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;T;Total;531;2021;;
PT;Portugal;T;Total de acidentes;T;Total;30691;2021;;
