"","geocod","geodsg","valor","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"104","16D0108","Estarreja",70.43,"Estarreja","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610108","2004","NUTSIII"
"105","16D0110","Ílhavo",82.66,"Ílhavo","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610110","2004","NUTSIII"
"106","16D0112","Murtosa",63.53,"Murtosa","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610112","2004","NUTSIII"
"107","16D0114","Oliveira do Bairro",75.12,"Oliveira do Bairro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610114","2004","NUTSIII"
"108","16D0115","Ovar",79.22,"Ovar","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610115","2004","NUTSIII"
"109","16D0117","Sever do Vouga",62,"Sever do Vouga","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610117","2004","NUTSIII"
"110","16D0118","Vagos",62.09,"Vagos","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610118","2004","NUTSIII"
"111","16E0601","Arganil",60.06,"Arganil","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640601","2004","NUTSIII"
"112","16E0602","Cantanhede",70.18,"Cantanhede","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620602","2004","NUTSIII"
"113","16E0603","Coimbra",132.47,"Coimbra","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620603","2004","NUTSIII"
"114","16E0604","Condeixa-a-Nova",75.9,"Condeixa-a-Nova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620604","2004","NUTSIII"
"115","16E0605","Figueira da Foz",93.49,"Figueira da Foz","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620605","2004","NUTSIII"
"116","16E0606","Góis",55.65,"Góis","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640606","2004","NUTSIII"
"117","16E0607","Lousã",73.38,"Lousã","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640607","2004","NUTSIII"
"118","16E0111","Mealhada",73.1,"Mealhada","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1610111","2004","NUTSIII"
"119","16E0608","Mira",67.29,"Mira","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620608","2004","NUTSIII"
"120","16E0609","Miranda do Corvo",57.98,"Miranda do Corvo","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640609","2004","NUTSIII"
"121","16E0610","Montemor-o-Velho",58.58,"Montemor-o-Velho","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620610","2004","NUTSIII"
"122","16E1808","Mortágua",60.96,"Mortágua","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1651808","2004","NUTSIII"
"123","16E0611","Oliveira do Hospital",62.6,"Oliveira do Hospital","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640611","2004","NUTSIII"
"124","16E0612","Pampilhosa da Serra",51.86,"Pampilhosa da Serra","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640612","2004","NUTSIII"
"125","16E0613","Penacova",51.19,"Penacova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620613","2004","NUTSIII"
"126","16E0614","Penela",54.43,"Penela","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640614","2004","NUTSIII"
"127","16E0615","Soure",60.06,"Soure","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620615","2004","NUTSIII"
"128","16E0616","Tábua",54.62,"Tábua","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640616","2004","NUTSIII"
"129","16E0617","Vila Nova de Poiares",66.59,"Vila Nova de Poiares","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640617","2004","NUTSIII"
"130","16F1002","Alvaiázere",57.7,"Alvaiázere","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641002","2004","NUTSIII"
"131","16F1003","Ansião",60.96,"Ansião","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641003","2004","NUTSIII"
"132","16F1004","Batalha",77.72,"Batalha","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631004","2004","NUTSIII"
"133","16F1007","Castanheira de Pêra",62.3,"Castanheira de Pêra","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641007","2004","NUTSIII"
"134","16F1008","Figueiró dos Vinhos",53.89,"Figueiró dos Vinhos","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641008","2004","NUTSIII"
"135","16F1009","Leiria",93.95,"Leiria","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631009","2004","NUTSIII"
"136","16F1010","Marinha Grande",94.5,"Marinha Grande","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631010","2004","NUTSIII"
"137","16F1013","Pedrógão Grande",55.72,"Pedrógão Grande","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641013","2004","NUTSIII"
"138","16F1015","Pombal",67.01,"Pombal","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631015","2004","NUTSIII"
"139","16F1016","Porto de Mós",70.31,"Porto de Mós","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631016","2004","NUTSIII"
"140","16G0901","Aguiar da Beira",49.89,"Aguiar da Beira","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1650901","2004","NUTSIII"
"141","16G1802","Carregal do Sal",58.73,"Carregal do Sal","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651802","2004","NUTSIII"
"142","16G1803","Castro Daire",48.84,"Castro Daire","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651803","2004","NUTSIII"
"143","16G1806","Mangualde",68.25,"Mangualde","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651806","2004","NUTSIII"
"144","16G1809","Nelas",67.84,"Nelas","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651809","2004","NUTSIII"
"145","16G1810","Oliveira de Frades",59.38,"Oliveira de Frades","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651810","2004","NUTSIII"
"146","16G1811","Penalva do Castelo",44.02,"Penalva do Castelo","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651811","2004","NUTSIII"
"147","16G1814","Santa Comba Dão",62.49,"Santa Comba Dão","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651814","2004","NUTSIII"
