"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"52","11C1804","Cinfães",2.5,"","","Cinfães","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151804","1.º Semestre de 2018","NUTSIII"
"53","11C1303","Felgueiras",2.5,"","","Felgueiras","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151303","1.º Semestre de 2018","NUTSIII"
"54","11C1305","Lousada",2.27,"","","Lousada","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151305","1.º Semestre de 2018","NUTSIII"
"55","11C1307","Marco de Canaveses",2.62,"","","Marco de Canaveses","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151307","1.º Semestre de 2018","NUTSIII"
"56","11C1309","Paços de Ferreira",2.74,"","","Paços de Ferreira","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151309","1.º Semestre de 2018","NUTSIII"
"57","11C1311","Penafiel",2.82,"","","Penafiel","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1151311","1.º Semestre de 2018","NUTSIII"
"58","11C1813","Resende",NA,"-","Dado nulo ou não aplicável","Resende","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151813","1.º Semestre de 2018","NUTSIII"
"59","11D1701","Alijó",NA,"-","Dado nulo ou não aplicável","Alijó","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171701","1.º Semestre de 2018","NUTSIII"
"60","11D1801","Armamar",NA,"-","Dado nulo ou não aplicável","Armamar","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171801","1.º Semestre de 2018","NUTSIII"
"61","11D0403","Carrazeda de Ansiães",NA,"-","Dado nulo ou não aplicável","Carrazeda de Ansiães","Norte","Douro","ULS Nordeste","Continente","Norte","1170403","1.º Semestre de 2018","NUTSIII"
"62","11D0404","Freixo de Espada à Cinta",NA,"-","Dado nulo ou não aplicável","Freixo de Espada à Cinta","Norte","Douro","ULS Nordeste","Continente","Norte","1170404","1.º Semestre de 2018","NUTSIII"
"63","11D1805","Lamego",2.12,"","","Lamego","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171805","1.º Semestre de 2018","NUTSIII"
"64","11D1704","Mesão Frio",NA,"-","Dado nulo ou não aplicável","Mesão Frio","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171704","1.º Semestre de 2018","NUTSIII"
"65","11D1807","Moimenta da Beira",2.05,"","","Moimenta da Beira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171807","1.º Semestre de 2018","NUTSIII"
