geocod,geodsg,dim_3_t,85 e mais anos,0 - 4 anos,20 - 24 anos,25 - 29 anos,15 - 19 anos,40 - 44 anos,5 - 9 anos,70 - 74 anos,45 - 49 anos,56 - 59 anos,10 - 14 anos,35 - 39 anos,60 - 65 anos,50 - 55 anos,65 - 69 anos,Total,30 - 34 anos,81 - 85 anos,75 - 80 anos,<1 ano,cod_geo,nivel_geo,cod_dicofre11,dicofre11_2,cod_nuts3,nuts3,cod_nuts2,nuts2,cod_nuts1,nuts1,cod_pais,pais,cod_tot,tot,cod_geo_nuts2002,cod_aces,aces1,aces2,cod_ars,ars
1609,Viana do Castelo,M,2101,1271,2194,2059,2074,3207,1655,2744,3393,3443,1777,2654,3466,3397,3177,45279,2170,1873,2357,267,1111609,4,'1609,1609,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111609,123,ALTO MINHO,ULS Alto Minho,11,Norte
1609,Viana do Castelo,HM,3166,2619,4511,4240,4158,6188,3345,5100,6440,6349,3688,5129,6467,6357,5937,85778,4230,3121,4168,565,1111609,4,'1609,1609,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111609,123,ALTO MINHO,ULS Alto Minho,11,Norte
1610,Vila Nova de Cerveira,HM,382,267,436,467,420,623,303,601,701,570,426,544,599,632,600,8921,466,356,473,55,1111610,4,'1610,1610,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111610,123,ALTO MINHO,ULS Alto Minho,11,Norte
1610,Vila Nova de Cerveira,H,120,145,240,263,233,298,148,263,347,284,226,285,266,309,278,4320,244,133,211,27,1111610,4,'1610,1610,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111610,123,ALTO MINHO,ULS Alto Minho,11,Norte
1610,Vila Nova de Cerveira,M,262,122,196,204,187,325,155,338,354,286,200,259,333,323,322,4601,222,223,262,28,1111610,4,'1610,1610,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111610,123,ALTO MINHO,ULS Alto Minho,11,Norte
0301,Amares,H,204,328,592,491,553,671,366,469,694,618,515,575,639,681,534,9078,491,241,344,72,1120301,4,'0301,301,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120301,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0301,Amares,M,359,283,552,504,486,728,349,523,737,706,434,590,629,730,579,9517,524,355,390,59,1120301,4,'0301,301,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120301,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0301,Amares,HM,563,611,1144,995,1039,1399,715,992,1431,1324,949,1165,1268,1411,1113,18595,1015,596,734,131,1120301,4,'0301,301,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120301,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0302,Barcelos,H,965,1851,3860,3413,3402,4261,2353,2669,4685,4285,2936,3477,3713,4522,3296,56218,3133,1234,1770,393,1120302,4,'0302,302,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120302,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0302,Barcelos,M,2001,1792,3646,3328,3149,4642,2286,3082,5125,4621,2752,3651,4134,4768,3760,60534,3207,1894,2344,352,1120302,4,'0302,302,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120302,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0302,Barcelos,HM,2966,3643,7506,6741,6551,8903,4639,5751,9810,8906,5688,7128,7847,9290,7056,116752,6340,3128,4114,745,1120302,4,'0302,302,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120302,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0303,Braga,H,1598,3527,5780,5764,5442,7219,4479,4010,7327,6641,4904,6577,5788,6756,5021,92102,5799,1851,2770,849,1120303,4,'0303,303,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120303,106,CÁVADO I,ACeS Braga,11,Norte
0303,Braga,M,3108,3331,5593,5771,5161,8085,4199,4820,8369,7640,4778,7061,6714,7836,5860,101222,6075,2756,3379,686,1120303,4,'0303,303,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120303,106,CÁVADO I,ACeS Braga,11,Norte
0303,Braga,HM,4706,6858,11373,11535,10603,15304,8678,8830,15696,14281,9682,13638,12502,14592,10881,193324,11874,4607,6149,1535,1120303,4,'0303,303,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120303,106,CÁVADO I,ACeS Braga,11,Norte
