geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
1840212,Ourique,2,M,51,40 - 44 anos,159,Ourique,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840212,1840212
1811505,Grândola,2,M,51,40 - 44 anos,507,Grândola,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1811505,1811505
1701512,Setúbal,2,M,51,40 - 44 anos,5162,Setúbal,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arrábida,Continente,Área Metropolitana de Lisboa,1721512,1701512
1701109,Mafra,2,M,51,40 - 44 anos,4191,Mafra,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Oeste Sul,Continente,Área Metropolitana de Lisboa,1711109,1701109
16J0911,Sabugal,2,M,51,40 - 44 anos,289,Sabugal,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680911,16J0911
16J0906,Gouveia,2,M,51,40 - 44 anos,386,Gouveia,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670906,16J0906
16G1823,Viseu,2,M,51,40 - 44 anos,4294,Viseu,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651823,16G1823
16G1814,Santa Comba Dão,2,M,51,40 - 44 anos,399,Santa Comba Dão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651814,16G1814
16E0612,Pampilhosa da Serra,2,M,51,40 - 44 anos,104,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612,16E0612
16E0609,Miranda do Corvo,2,M,51,40 - 44 anos,568,Miranda do Corvo,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640609,16E0609
16E0603,Coimbra,2,M,51,40 - 44 anos,5222,Coimbra,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620603,16E0603
16D0117,Sever do Vouga,2,M,51,40 - 44 anos,452,Sever do Vouga,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610117,16D0117
16D0103,Anadia,2,M,51,40 - 44 anos,989,Anadia,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610103,16D0103
16B1113,Torres Vedras,2,M,51,40 - 44 anos,3483,Torres Vedras,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1113,16B1113
16B1005,Bombarral,2,M,51,40 - 44 anos,500,Bombarral,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1005,16B1005
1500814,Tavira,2,M,51,40 - 44 anos,938,Tavira,Algarve,Algarve,ACeS Sotavento,Continente,Algarve,1500814,1500814
1870708,Mourão,2,M,42,35 - 39 anos,63,Mourão,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830708,1870708
1861215,Sousel,2,M,42,35 - 39 anos,164,Sousel,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1831215,1861215
1861208,Fronteira,2,M,42,35 - 39 anos,136,Fronteira,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821208,1861208
1861206,Crato,2,M,42,35 - 39 anos,95,Crato,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821206,1861206
1851406,Cartaxo,2,M,42,35 - 39 anos,852,Cartaxo,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851406,1851406
1840212,Ourique,2,M,42,35 - 39 anos,169,Ourique,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840212,1840212
1840209,Mértola,2,M,42,35 - 39 anos,129,Mértola,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840209,1840209
1840204,Barrancos,2,M,42,35 - 39 anos,51,Barrancos,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840204,1840204
1811505,Grândola,2,M,42,35 - 39 anos,463,Grândola,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1811505,1811505
1701511,Sesimbra,2,M,42,35 - 39 anos,2260,Sesimbra,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arrábida,Continente,Área Metropolitana de Lisboa,1721511,1701511
1701508,Palmela,1,H,12,5 - 9 anos,1778,Palmela,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arrábida,Continente,Área Metropolitana de Lisboa,1721508,1701508
1701507,Montijo,1,H,12,5 - 9 anos,1760,Montijo,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arco Ribeirinho,Continente,Área Metropolitana de Lisboa,1721507,1701507
1701503,Almada,1,H,12,5 - 9 anos,4507,Almada,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Almada/Seixal,Continente,Área Metropolitana de Lisboa,1721503,1701503
16I1420,Vila Nova da Barquinha,1,H,12,5 - 9 anos,152,Vila Nova da Barquinha,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1420,16I1420
16I1417,Sardoal,1,H,12,5 - 9 anos,73,Sardoal,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1417,16I1417
16I0509,Sertã,1,H,12,5 - 9 anos,266,Sertã,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660509,16I0509
