geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
0311,Vieira do Minho,H,Vieira do Minho,35,Norte,Ave,ACeS Gerês/Cabreira,138,181,245,269,349,274,242,275,355,411,401,462,505,454,385,312,220,200,5713
0311,Vieira do Minho,M,Vieira do Minho,29,Norte,Ave,ACeS Gerês/Cabreira,129,183,211,272,295,264,271,344,365,422,464,481,553,468,425,349,332,385,6242
0312,Vila Nova de Famalicão,H,Vila Nova de Famalicão,508,Norte,Ave,ACeS Famalicão,2217,2773,3254,3651,4035,3989,3814,4202,4905,5249,5061,5023,4334,3826,3146,2016,1396,1050,64449
0312,Vila Nova de Famalicão,M,Vila Nova de Famalicão,489,Norte,Ave,ACeS Famalicão,2157,2653,3058,3446,3909,3714,3677,4475,5382,5698,5558,5316,4702,4498,3643,2580,2058,2072,69085
0314,Vizela,H,Vizela,84,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,431,506,548,645,805,757,737,783,837,963,993,922,762,720,486,302,212,152,11645
0314,Vizela,M,Vizela,98,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,427,425,547,629,749,718,748,813,938,1012,974,979,883,717,586,411,322,275,12251
0104,Arouca,H,Arouca,75,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,295,432,547,519,593,564,498,636,739,823,742,809,746,678,556,381,282,255,10170
0104,Arouca,M,Arouca,62,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,318,425,520,578,596,496,541,649,732,781,808,821,770,751,653,537,436,502,10976
0107,Espinho,H,Espinho,81,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,399,530,626,773,830,733,669,847,951,1044,1077,1098,1103,1050,981,702,563,404,14461
0107,Espinho,M,Espinho,101,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,397,555,611,750,773,721,681,880,981,1159,1213,1360,1326,1323,1189,964,784,814,16582
1304,Gondomar,H,Gondomar,550,Norte,Área Metropolitana do Porto,ACeS Gondomar,2545,3348,3973,4389,4724,4340,4413,5010,5559,6246,6012,6042,5513,4844,4214,3007,1896,1366,77991
